,video_id,keywords,annotation
1,7041921581278416158,100多颗恒星“离奇消失”是被外星人操控了,假
2,6853696307836488973,100多颗恒星“离奇消失”是被外星人操控了,假
5,6893079981358861581,119徐州化工厂爆炸,假
6,6671891732524829965,119徐州化工厂爆炸,真
7,6893044994064600332,119徐州化工厂爆炸,假
9,6730921689619746059,120被堵路口致患者抢救无效死亡,假
18,6799829298762059021,16名韩国护士因疫情严重辞职,假
19,6799592761499700494,16名韩国护士因疫情严重辞职,假
22,7006966963960286477,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
23,7009810928149548318,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
24,7029948498762157342,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
25,7004371861605764365,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
26,6989830805723811076,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
27,6976452250612944139,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
28,6946922230706097408,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
29,6885912598605237507,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
30,6963127737955470633,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
31,7049184364088823053,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
32,6886430430208298255,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
33,6915359540363939080,19岁消防员救火时被坍塌的墙体压倒而牺牲,真
34,6804705458432003328,2019年8月一架客机在黑龙江失事，42人遇难,假
35,7028615037652618500,2019年8月一架客机在黑龙江失事，42人遇难,假
36,3xgfgk5d4pn3j8k,2019年8月一架客机在黑龙江失事，42人遇难,真
37,6666314921619295496,2019年8月一架客机在黑龙江失事，42人遇难,假
38,3xac2wqftvihbu2,2019年8月一架客机在黑龙江失事，42人遇难,真
39,3x7269wyyimyzm4,2019环邢台国际自行车赛连环大撞车,真
40,3xte5yssxwrciwm,2019环邢台国际自行车赛连环大撞车,真
41,6732020059977370894,2019环邢台国际自行车赛连环大撞车,真
42,3xdipwd5nde7586,2019环邢台国际自行车赛连环大撞车,真
43,6980603426870742279,2019环邢台国际自行车赛连环大撞车,真
44,6979087409996664071,2019环邢台国际自行车赛连环大撞车,真
45,6731998623359339784,2019环邢台国际自行车赛连环大撞车,真
46,6978679609512529159,2019环邢台国际自行车赛连环大撞车,真
47,6731971438481394958,2019环邢台国际自行车赛连环大撞车,真
48,6732370114181598477,2019环邢台国际自行车赛连环大撞车,真
49,3x67v5cyrwg7ifq,2019环邢台国际自行车赛连环大撞车,真
50,3x5ukaaarhwb6mk,2020东京奥运会开幕式烟花在富士山下提前燃放,假
51,3xann9z9p6a9cnk,2020东京奥运会开幕式烟花在富士山下提前燃放,假
52,6986540295076859144,2020东京奥运会开幕式烟花在富士山下提前燃放,真
53,3xqvbqu2mwutzqm,2020东京奥运会开幕式烟花在富士山下提前燃放,假
54,6992786592934956325,2岁的孩子吃瓜子卡住喉咙，送到医院被延误治疗死亡,真
55,6975525474722270494,2岁的孩子吃瓜子卡住喉咙，送到医院被延误治疗死亡,真
56,7016544513078431006,2岁的孩子吃瓜子卡住喉咙，送到医院被延误治疗死亡,真
57,6993940443503365383,2岁的孩子吃瓜子卡住喉咙，送到医院被延误治疗死亡,真
58,7016541340636941599,2岁的孩子吃瓜子卡住喉咙，送到医院被延误治疗死亡,真
76,7031859613460925736,36岁“女博士”征婚要求80万彩礼和别墅,假
77,7056300233491303691,36岁“女博士”征婚要求80万彩礼和别墅,假
78,7055180730518883587,36岁“女博士”征婚要求80万彩礼和别墅,假
79,7042975466105343271,36岁“女博士”征婚要求80万彩礼和别墅,假
80,7044047262388882688,36岁“女博士”征婚要求80万彩礼和别墅,假
81,7016082793277033758,36岁“女博士”征婚要求80万彩礼和别墅,假
82,7036952898252639503,36岁“女博士”征婚要求80万彩礼和别墅,假
83,6815514117089119488,40年僵尸肉大量流入本地,假
84,6853306188751277324,40年僵尸肉大量流入本地,假
85,3x5x5miprkvphbw,5号线站内漏水,真
88,6987976900471770399,5号线站内漏水,真
90,6987554046303407391,5号线站内漏水,真
91,6987030561093192972,5号线站内漏水,真
92,6723527309363662083,5号线站内漏水,真
93,6988355283214929155,5号线站内漏水,真
95,7035210171949288740,60年来最冷冬天,假
96,7028536210775723272,60年来最冷冬天,假
97,7032965221509582092,60年来最冷冬天,假
98,7034473142282095904,60年来最冷冬天,假
100,6808728377600511232,6月15日起持有效签证和居留许可的外国人将无法入境,假
101,6808542878009167107,6月15日起持有效签证和居留许可的外国人将无法入境,假
102,6808539046395038990,6月15日起持有效签证和居留许可的外国人将无法入境,假
105,6838096889913707791,6月15日起持有效签证和居留许可的外国人将无法入境,假
